"","Site","Software","Keypoint Image Scale","Depth Map Quality","Filtering Mode","Alt (m)","Speed (m/s)","Forward Overlap","Side Overlap","Photo Count","Ortho Size (MB)","PC Size (MB)","Total Generation Time (min)","PC Total Number","X Error (m)","Y Error (m)","Z Error (m)","Total Error (m)","Initial Proc. Time (min)","Point Cloud Densification (min)","Ortho Generation (min)"
"167","Kaibab_high","Pix4D","Eighth","Half","Low",97,3,90,90,132,NA,19.087,5.9,2908629,0.18,"0.17599999999999999",0.272,NA,1.07,4.83,13.52
"168","Kaibab_high","Pix4D","Eighth","Half","Optimal",97,3,90,90,132,NA,69.623,14.23,10688560,0.18,"0.17599999999999999",0.272,NA,0.83,13.4,18.67
"169","Kaibab_high","Pix4D","Eighth","Original","High",97,3,90,90,132,NA,977.313,209.97,154062074,0.18,"0.17599999999999999",0.272,NA,0.59,209.38,373.98
"170","Kaibab_high","Pix4D","Eighth","Original","Low",97,3,90,90,132,NA,78.339,15.64,11948877,0.18,"0.17599999999999999",0.272,NA,0.55,15.09,19.07
"171","Kaibab_high","Pix4D","Eighth","Original","Optimal",97,3,90,90,132,NA,264.178,37.37,40989638,0.18,"0.17599999999999999",0.272,NA,1.02,36.35,26.12
"172","Kaibab_high","Pix4D","Eighth","Quarter","High",97,3,90,90,132,NA,60.674,9.01,9276860,0.18,"0.17599999999999999",0.272,NA,0.83,8.18,10.64
"173","Kaibab_high","Pix4D","Eighth","Quarter","Low",97,3,90,90,132,NA,4.413,2.19,664824,0.18,"0.17599999999999999",0.272,NA,0.86,1.33,7.02
"174","Kaibab_high","Pix4D","Eighth","Quarter","Optimal",97,3,90,90,132,NA,16.807,5.42,2558158,0.18,"0.17599999999999999",0.272,NA,1.04,4.38,10.22
"175","Kaibab_high","Pix4D","Half","Eighth","High",97,3,90,90,132,NA,18.17,6.25,2758503,0.113,"0.114",0.183,NA,3.73,2.52,9.86
"176","Kaibab_high","Pix4D","Half","Eighth","Low",97,3,90,90,132,NA,1.335,4.2,195914,0.113,"0.114",0.183,NA,3.07,1.13,13.54
"177","Kaibab_high","Pix4D","Half","Eighth","Optimal",97,3,90,90,132,NA,5.059,6.78,759384,0.113,"0.114",0.183,NA,4.8,1.98,9.8
"178","Kaibab_high","Pix4D","Half","Half","High",97,3,90,90,132,NA,286.414,39.38,44475685,0.113,"0.114",0.183,NA,3.52,35.86,38.6
