"","Site","Software","Keypoint Image Scale","Depth Map Quality","Filtering Mode","Alt (m)","Speed (m/s)","Forward Overlap","Side Overlap","Photo Count","Ortho Size (MB)","PC Size (MB)","Total Generation Time (min)","PC Total Number","X Error (m)","Y Error (m)","Z Error (m)","Total Error (m)","Initial Proc. Time (min)","Point Cloud Densification (min)","Ortho Generation (min)"
"1","Kaibab_high","OpenDroneMap",NA,"High","High",97,3,90,90,132,53.9,91.8,309.48,22003356,1.427,"1.0429999999999999",0.48,1.464,NA,NA,NA
"2","Kaibab_low","OpenDroneMap",NA,"High","High",99,4,90,90,153,56.3,98.3,400.04,26948103,0.037,"0.05",0.125,0.075,NA,NA,NA
"3","WA85-02","OpenDroneMap",NA,"High","High",80,4,90,85,144,53.2,101.7,295.83,27550605,0.037,"5.2999999999999999E-2",0.093,0.059,NA,NA,NA
"4","N1","OpenDroneMap",NA,"High","High",90,4,90,90,154,56.9,104.7,435.52,25934311,0.031,"0.02",0.068,0.049,NA,NA,NA
"5","SQ02-04","OpenDroneMap",NA,"High","High",80,90,85,4,157,60,109.8,333.9,30514077,0.064,"4.9000000000000002E-2",0.186,0.092,NA,NA,NA
"6","SQ09-02","OpenDroneMap",NA,"High","High",80,4,90,85,157,60.1,110,356.17,30886910,0.051,"4.2999999999999997E-2",0.148,0.083,NA,NA,NA
"7","Kaibab_low","OpenDroneMap",NA,"High","Low",99,4,90,90,153,57.3,97.5,206.2,25726495,0.202,"0.27500000000000002",0.565,0.309,NA,NA,NA
"8","WA85-02","OpenDroneMap",NA,"High","Low",80,4,90,85,144,53,100.6,181.2,27111440,2.24,"9..48",0.611,0.639,NA,NA,NA
"9","Kaibab_high","OpenDroneMap",NA,"High","Low",97,3,90,90,132,56.3,101.1,185.02,23876564,0.126,"1.1850000000000001",0.419,0.247,NA,NA,NA
"10","SQ09-02","OpenDroneMap",NA,"High","Low",80,4,90,85,157,59,105.2,210.74,29162550,0.198,"0.14399999999999999",0.513,0.296,NA,NA,NA
"11","SQ02-04","OpenDroneMap",NA,"High","Low",80,90,85,4,157,59.9,108.8,215.2,29642491,0.41,"0.32400000000000001",0.733,0.344,NA,NA,NA
"12","N1","OpenDroneMap",NA,"High","Low",90,4,90,90,154,59.2,125,223.84,29490437,0.186,"0.14299999999999999",0.603,0.298,NA,NA,NA
"13","WA85-02","OpenDroneMap",NA,"High","Lowest",80,4,90,85,144,53.1,95.7,181.93,26115859,0.276,"0.25700000000000001",0.816,0.457,NA,NA,NA
"14","Kaibab_high","OpenDroneMap",NA,"High","Lowest",97,3,90,90,132,55.7,99.8,186.5,23664748,0.202,"0.215",0.818,0.449,NA,NA,NA
"15","Kaibab_low","OpenDroneMap",NA,"High","Lowest",99,4,90,90,153,58.8,106.1,201.29,26427893,5.518,"1.4870000000000001",1.018,0.821,NA,NA,NA
"16","SQ02-04","OpenDroneMap",NA,"High","Lowest",80,90,85,4,157,59.7,108.8,195.31,29078568,0.417,"5.2190000000000003",1.161,0.837,NA,NA,NA
"17","SQ09-02","OpenDroneMap",NA,"High","Lowest",80,4,90,85,157,59.5,112.7,200.02,29502234,0.382,"0.29099999999999998",1.121,0.614,NA,NA,NA
"18","N1","OpenDroneMap",NA,"High","Lowest",90,4,90,90,154,58.8,124.8,208.23,29143075,0.458,"0.38200000000000001",14.732,1.07,NA,NA,NA
"19","Kaibab_low","OpenDroneMap",NA,"High","Medium",99,4,90,90,153,57.4,100.7,265.31,27024762,5.939,"7.9580000000000002",1.109,0.669,NA,NA,NA
"20","WA85-02","OpenDroneMap",NA,"High","Medium",80,4,90,85,144,53,102.6,219.81,27604373,0.284,"0.218",0.756,0.327,NA,NA,NA
"21","SQ09-02","OpenDroneMap",NA,"High","Medium",80,4,90,85,157,59.4,109.1,262.64,30311002,0.112,"9.5000000000000001E-2",0.307,0.161,NA,NA,NA
"22","N1","OpenDroneMap",NA,"High","Medium",90,4,90,90,154,57.9,109.6,260.06,26685319,0.075,"4.9000000000000002E-2",0.216,0.114,NA,NA,NA
"23","SQ02-04","OpenDroneMap",NA,"High","Medium",80,90,85,4,157,59.4,110.1,262.35,30293935,0.234,"0.11899999999999999",0.859,0.209,NA,NA,NA
"24","Kaibab_high","OpenDroneMap",NA,"High","Medium",97,3,90,90,132,54,90,219.29,21595107,0.078,"6.7000000000000004E-2",0.231,0.126,NA,NA,NA
"25","Kaibab_high","OpenDroneMap",NA,"High","Ultra",97,3,90,90,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Kaibab_low","OpenDroneMap",NA,"High","Ultra",99,4,90,90,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","N1","OpenDroneMap",NA,"High","Ultra",90,4,90,90,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","SQ02-04","OpenDroneMap",NA,"High","Ultra",80,90,85,4,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","SQ09-02","OpenDroneMap",NA,"High","Ultra",80,4,90,85,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","WA85-02","OpenDroneMap",NA,"High","Ultra",80,4,90,85,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Kaibab_high","OpenDroneMap",NA,"Low","High",97,3,90,90,132,52.4,23.4,194.96,5099052,0.042,"4.2000000000000003E-2",0.105,0.072,NA,NA,NA
"32","Kaibab_low","OpenDroneMap",NA,"Low","High",99,4,90,90,153,54.1,25.6,249.23,6449647,0.034,"0.11799999999999999",0.101,0.075,NA,NA,NA
"33","WA85-02","OpenDroneMap",NA,"Low","High",80,4,90,85,144,51.3,25.8,187.28,6601531,0.023,"3.3000000000000002E-2",0.077,0.056,NA,NA,NA
"34","N1","OpenDroneMap",NA,"Low","High",90,4,90,90,154,55.8,26.3,306.16,6018483,0.038,"5.3999999999999999E-2",0.149,0.06,NA,NA,NA
"35","SQ09-02","OpenDroneMap",NA,"Low","High",80,4,90,85,157,58.8,28.4,209.06,7600902,0.046,"5.2999999999999999E-2",0.137,0.079,NA,NA,NA
"36","SQ02-04","OpenDroneMap",NA,"Low","High",80,90,85,4,157,58.2,28.6,213.43,7630056,0.959,"1.3109999999999999",0.517,1.604,NA,NA,NA
"37","Kaibab_low","OpenDroneMap",NA,"Low","Low",99,4,90,90,153,55.7,24.7,75.83,5989625,0.357,"0.32100000000000001",0.908,0.317,NA,NA,NA
"38","Kaibab_high","OpenDroneMap",NA,"Low","Low",97,3,90,90,132,53.7,25.2,72.84,5375269,0.192,"0.112",0.579,0.245,NA,NA,NA
"39","WA85-02","OpenDroneMap",NA,"Low","Low",80,4,90,85,144,50.8,25.7,68.23,6540078,0.155,"0.187",0.642,0.318,NA,NA,NA
"40","SQ02-04","OpenDroneMap",NA,"Low","Low",80,90,85,4,157,57.7,27.9,75.33,7238586,2.34,"2.7269999999999999",0.609,0.411,NA,NA,NA
"41","SQ09-02","OpenDroneMap",NA,"Low","Low",80,4,90,85,157,57.4,28,75.35,7313203,0.36,"0.25800000000000001",0.824,0.351,NA,NA,NA
"42","N1","OpenDroneMap",NA,"Low","Low",90,4,90,90,154,57.4,30.6,82.64,6523960,0.197,"0.128",0.551,0.321,NA,NA,NA
"43","WA85-02","OpenDroneMap",NA,"Low","Lowest",80,4,90,85,144,50.9,24.5,60.98,6329609,0.242,"2.3159999999999998",0.98,0.593,NA,NA,NA
"44","Kaibab_high","OpenDroneMap",NA,"Low","Lowest",97,3,90,90,132,53.8,25,66.42,5350411,0.268,"0.28599999999999998",0.955,0.471,NA,NA,NA
"45","Kaibab_low","OpenDroneMap",NA,"Low","Lowest",99,4,90,90,153,56.1,26,66.5,5944719,2.973,"4.5430000000000001",0.858,0.768,NA,NA,NA
"46","SQ02-04","OpenDroneMap",NA,"Low","Lowest",80,90,85,4,157,58.4,28.6,68.79,7067809,0.347,"0.23300000000000001",1.036,0.591,NA,NA,NA
"47","SQ09-02","OpenDroneMap",NA,"Low","Lowest",80,4,90,85,157,58.4,28.7,67.44,7190353,0.5,"3.31",0.992,0.71,NA,NA,NA
"48","N1","OpenDroneMap",NA,"Low","Lowest",90,4,90,90,154,57.1,32,74.92,6748739,0.38,"0.25",1.078,0.557,NA,NA,NA
"49","Kaibab_high","OpenDroneMap",NA,"Low","Medium",97,3,90,90,132,51.9,23.3,109.29,5064521,5.664,"4.9139999999999997",0.176,0.446,NA,NA,NA
"50","Kaibab_low","OpenDroneMap",NA,"Low","Medium",99,4,90,90,153,55,24.9,128.39,6310354,0.071,"1.67",0.294,0.193,NA,NA,NA
"51","WA85-02","OpenDroneMap",NA,"Low","Medium",80,4,90,85,144,50.9,25.7,110.02,6560679,0.217,"0.22700000000000001",0.708,0.423,NA,NA,NA
"52","N1","OpenDroneMap",NA,"Low","Medium",90,4,90,90,154,56.3,26.6,131.6,5961588,0.087,"6.3E-2",1.04,0.146,NA,NA,NA
"53","SQ02-04","OpenDroneMap",NA,"Low","Medium",80,90,85,4,157,57.7,27.9,121.7,7433629,0.091,"8.2000000000000003E-2",0.253,0.158,NA,NA,NA
"54","SQ09-02","OpenDroneMap",NA,"Low","Medium",80,4,90,85,157,57.6,28.3,125.04,7555223,0.177,"0.106",0.295,0.172,NA,NA,NA
"55","Kaibab_high","OpenDroneMap",NA,"Low","Ultra",97,3,90,90,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Kaibab_low","OpenDroneMap",NA,"Low","Ultra",99,4,90,90,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","N1","OpenDroneMap",NA,"Low","Ultra",90,4,90,90,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","SQ02-04","OpenDroneMap",NA,"Low","Ultra",80,90,85,4,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","SQ09-02","OpenDroneMap",NA,"Low","Ultra",80,4,90,85,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","WA85-02","OpenDroneMap",NA,"Low","Ultra",80,4,90,85,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Kaibab_high","OpenDroneMap",NA,"Lowest","High",97,3,90,90,132,52.1,23.4,188.62,5099997,0.035,"4.4999999999999998E-2",0.102,0.072,NA,NA,NA
"62","Kaibab_low","OpenDroneMap",NA,"Lowest","High",99,4,90,90,153,54.3,25.1,254.23,6365466,0.534,"0.36599999999999999",0.662,0.888,NA,NA,NA
"63","WA85-02","OpenDroneMap",NA,"Lowest","High",80,4,90,85,144,51.2,25.9,184.54,6604171,0.036,"3.6999999999999998E-2",0.093,0.059,NA,NA,NA
"64","N1","OpenDroneMap",NA,"Lowest","High",90,4,90,90,154,55.8,26.2,291.7,6029938,0.067,"3.5999999999999997E-2",0.085,0.054,NA,NA,NA
"65","SQ02-04","OpenDroneMap",NA,"Lowest","High",80,90,85,4,157,58.1,27.9,211.9,7523826,0.042,"3.3000000000000002E-2",0.121,0.073,NA,NA,NA
"66","SQ09-02","OpenDroneMap",NA,"Lowest","High",80,4,90,85,157,58.4,28.2,212.6,7450548,0.04,"1.31",0.518,1.604,NA,NA,NA
"67","Kaibab_low","OpenDroneMap",NA,"Lowest","Low",99,4,90,90,153,55.9,24,76.16,5935693,0.313,"0.22700000000000001",0.713,0.31,NA,NA,NA
"68","Kaibab_high","OpenDroneMap",NA,"Lowest","Low",97,3,90,90,132,53.9,25.6,73.62,5458486,0.097,"0.13400000000000001",0.422,0.225,NA,NA,NA
"69","WA85-02","OpenDroneMap",NA,"Lowest","Low",80,4,90,85,144,52,26.2,27.42,6639138,0.166,"0.25600000000000001",0.871,0.391,NA,NA,NA
"70","SQ02-04","OpenDroneMap",NA,"Lowest","Low",80,90,85,4,157,58.2,28,77.08,7265608,1.009,"1.3120000000000001",0.516,1.624,NA,NA,NA
"71","SQ09-02","OpenDroneMap",NA,"Lowest","Low",80,4,90,85,157,57.7,28.2,74.92,7308541,0.23,"0.191",0.597,0.357,NA,NA,NA
"72","N1","OpenDroneMap",NA,"Lowest","Low",90,4,90,90,154,57.1,29.8,84.08,6488297,0.33,"0.124",0.59,0.33,NA,NA,NA
"73","WA85-02","OpenDroneMap",NA,"Lowest","Lowest",80,4,90,85,144,51.4,24.7,60.55,6381253,0.257,"0.26100000000000001",0.804,0.446,NA,NA,NA
"74","Kaibab_high","OpenDroneMap",NA,"Lowest","Lowest",97,3,90,90,132,54.1,25,66.11,5375218,0.198,"0.24399999999999999",0.67,0.423,NA,NA,NA
"75","Kaibab_low","OpenDroneMap",NA,"Lowest","Lowest",99,4,90,90,153,56.1,26.5,69.45,6123817,0.493,"1.3939999999999999",1.154,0.622,NA,NA,NA
"76","SQ02-04","OpenDroneMap",NA,"Lowest","Lowest",80,90,85,4,157,58.1,27.6,69.75,6953848,0.421,"0.22900000000000001",1.067,0.642,NA,NA,NA
"77","SQ09-02","OpenDroneMap",NA,"Lowest","Lowest",80,4,90,85,157,58.4,28.6,68.25,7111036,0.37,"0.27800000000000002",0.916,0.618,NA,NA,NA
"78","N1","OpenDroneMap",NA,"Lowest","Lowest",90,4,90,90,154,57.2,31.8,72.8,6729729,0.415,"0.27900000000000003",1.164,0.619,NA,NA,NA
"79","Kaibab_high","OpenDroneMap",NA,"Lowest","Medium",97,3,90,90,132,51.8,23.4,110.92,5087972,0.051,"5.7000000000000002E-2",0.168,0.12,NA,NA,NA
"80","WA85-02","OpenDroneMap",NA,"Lowest","Medium",80,4,90,85,144,50.8,25.6,110.48,6552826,0.152,"0.248",0.65,0.375,NA,NA,NA
"81","Kaibab_low","OpenDroneMap",NA,"Lowest","Medium",99,4,90,90,153,54.9,25.7,129,6526827,2.09,"9.593",0.23,0.448,NA,NA,NA
"82","N1","OpenDroneMap",NA,"Lowest","Medium",90,4,90,90,154,56.4,27.1,124.2,6112695,0.078,"5.8000000000000003E-2",0.194,0.118,NA,NA,NA
"83","SQ02-04","OpenDroneMap",NA,"Lowest","Medium",80,90,85,4,157,57.2,28.5,123.48,7458195,0.081,"7.4999999999999997E-2",0.328,0.16,NA,NA,NA
"84","SQ09-02","OpenDroneMap",NA,"Lowest","Medium",80,4,90,85,157,57.1,28.5,123.25,7498421,0.105,"8.6999999999999994E-2",0.344,0.171,NA,NA,NA
"85","Kaibab_high","OpenDroneMap",NA,"Lowest","Ultra",97,3,90,90,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Kaibab_low","OpenDroneMap",NA,"Lowest","Ultra",99,4,90,90,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","N1","OpenDroneMap",NA,"Lowest","Ultra",90,4,90,90,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","SQ02-04","OpenDroneMap",NA,"Lowest","Ultra",80,90,85,4,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","SQ09-02","OpenDroneMap",NA,"Lowest","Ultra",80,4,90,85,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","WA85-02","OpenDroneMap",NA,"Lowest","Ultra",80,4,90,85,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Kaibab_high","OpenDroneMap",NA,"Medium","High",97,3,90,90,132,52.7,23.1,190.6,5075463,0.033,"4.7E-2",0.139,0.073,NA,NA,NA
"92","Kaibab_low","OpenDroneMap",NA,"Medium","High",99,4,90,90,153,54.4,25.1,249.94,6395103,3.07,"1.9239999999999999",0.113,0.194,NA,NA,NA
"93","WA85-02","OpenDroneMap",NA,"Medium","High",80,4,90,85,144,51.2,26,195.91,6602565,0.025,"0.04",0.088,0.059,NA,NA,NA
